Starting training...

Epoch 1/700
[1/21] Loss: 4.9140 | Step: 0.78s | ETA: 16s | 4.8%
[2/21] Loss: 4.9939 | Step: 0.02s | ETA: 0s | 9.5%
[3/21] Loss: 4.5416 | Step: 0.02s | ETA: 0s | 14.3%
[4/21] Loss: 4.5975 | Step: 0.02s | ETA: 0s | 19.0%
[5/21] Loss: 4.7729 | Step: 0.02s | ETA: 0s | 23.8%
[6/21] Loss: 4.7556 | Step: 0.02s | ETA: 0s | 28.6%
[7/21] Loss: 4.5096 | Step: 0.02s | ETA: 0s | 33.3%
[8/21] Loss: 4.4456 | Step: 0.02s | ETA: 0s | 38.1%
[9/21] Loss: 4.6057 | Step: 0.02s | ETA: 0s | 42.9%
[10/21] Loss: 4.8307 | Step: 0.02s | ETA: 0s | 47.6%
[11/21] Loss: 4.7658 | Step: 0.02s | ETA: 0s | 52.4%
[12/21] Loss: 4.6246 | Step: 0.02s | ETA: 0s | 57.1%
[13/21] Loss: 4.5110 | Step: 0.02s | ETA: 0s | 61.9%
[14/21] Loss: 4.5288 | Step: 0.02s | ETA: 0s | 66.7%
[15/21] Loss: 4.5110 | Step: 0.02s | ETA: 0s | 71.4%
[16/21] Loss: 4.5079 | Step: 0.02s | ETA: 0s | 76.2%
[17/21] Loss: 4.5906 | Step: 0.02s | ETA: 0s | 81.0%
[18/21] Loss: 4.4833 | Step: 0.02s | ETA: 0s | 85.7%
[19/21] Loss: 4.6130 | Step: 0.02s | ETA: 0s | 90.5%
[20/21] Loss: 3.9767 | Step: 0.02s | ETA: 0s | 95.2%
[21/21] Loss: 4.5576 | Step: 0.05s | ETA: 0s | 100.0%
Epoch 1 completed in 2.5s - Avg loss: 4.6018

Epoch 2/700
[1/21] Loss: 4.3328 | Step: 0.02s | ETA: 0s | 4.8%
[2/21] Loss: 4.4757 | Step: 0.02s | ETA: 0s | 9.5%
[3/21] Loss: 4.2864 | Step: 0.02s | ETA: 0s | 14.3%
[4/21] Loss: 4.2517 | Step: 0.02s | ETA: 0s | 19.0%
[5/21] Loss: 4.6034 | Step: 0.02s | ETA: 0s | 23.8%
[6/21] Loss: 4.3657 | Step: 0.02s | ETA: 0s | 28.6%
[7/21] Loss: 4.3709 | Step: 0.02s | ETA: 0s | 33.3%
[8/21] Loss: 4.3616 | Step: 0.02s | ETA: 0s | 38.1%
[9/21] Loss: 4.1933 | Step: 0.02s | ETA: 0s | 42.9%
[10/21] Loss: 4.1526 | Step: 0.02s | ETA: 0s | 47.6%
[11/21] Loss: 4.1963 | Step: 0.02s | ETA: 0s | 52.4%
[12/21] Loss: 4.0642 | Step: 0.02s | ETA: 0s | 57.1%
[13/21] Loss: 4.2714 | Step: 0.02s | ETA: 0s | 61.9%
[14/21] Loss: 4.0312 | Step: 0.02s | ETA: 0s | 66.7%
[15/21] Loss: 4.1534 | Step: 0.02s | ETA: 0s | 71.4%
